CustomerID,Signup_Date,Churn_Date,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,TechSupport,StreamingTV,SeniorCitizen,Churn
CUST00067,2/4/2022,,24,21.69,954.36,Month-to-month,PayPal,No service,No,Yes,1,0
CUST00068,8/23/2020,,44,50.34,3020.4,Two year,Credit Card,DSL,Yes,Yes,0,0
CUST00069,8/26/2023,1/7/2027,41,82.43,3379.63,One year,Credit Card,Fiber optic,No,Yes,1,1
CUST00070,7/11/2022,12/22/2025,42,46.66,1959.72,One year,Mailed Check,DSL,No,No,1,1
CUST00071,6/20/2022,,6,48.22,1543.04,One year,Mailed Check,Fiber optic,No,No,1,0
CUST00072,12/19/2023,,38,81.28,4226.56,Two year,Electronic Check,DSL,Yes,No,0,0
CUST00073,10/31/2023,,38,25.08,1379.4,Two year,Credit Card,Fiber optic,No,Yes,1,0
CUST00074,1/10/2021,6/4/2022,17,23.94,406.98,Month-to-month,Credit Card,Fiber optic,No,No,0,1
CUST00075,3/28/2022,,59,36.84,2210.4,One year,PayPal,DSL,No,Yes,1,0
CUST00076,1/29/2020,6/6/2024,53,62.84,3330.52,Month-to-month,PayPal,Fiber optic,No,No,0,1
CUST00077,12/13/2022,,5,98.82,2174.04,Two year,PayPal,Fiber optic,No,No,0,0
CUST00078,5/23/2019,,2,87.05,1828.05,Month-to-month,PayPal,Fiber optic,No,Yes,0,0
CUST00079,4/4/2019,,5,51.64,3098.4,One year,PayPal,Fiber optic,No,No,1,0
CUST00080,9/16/2022,,13,77.43,1780.89,Two year,Mailed Check,Fiber optic,No,No,0,0
CUST00081,4/11/2020,1/15/2025,58,43.21,2506.18,Two year,Credit Card,No service,No,No,0,1
CUST00082,5/3/2023,10/14/2026,42,32.91,1382.22,Month-to-month,Mailed Check,Fiber optic,No,Yes,1,1
CUST00083,8/15/2020,1/2/2023,29,49.91,1447.39,Month-to-month,Electronic Check,Fiber optic,No,Yes,0,1
CUST00084,6/13/2019,,52,53.07,2865.78,Month-to-month,PayPal,DSL,No,No,0,0
CUST00085,10/18/2023,7/14/2024,9,64.24,578.16,One year,PayPal,Fiber optic,No,Yes,1,1
CUST00086,4/21/2020,,6,39.9,1476.3,Month-to-month,Credit Card,DSL,No,No,0,0
CUST00087,11/10/2023,,58,21.09,1265.4,Two year,Electronic Check,DSL,No,No,0,0
CUST00088,7/26/2019,,55,87.64,4995.48,Month-to-month,Credit Card,DSL,No,No,1,0
CUST00089,2/17/2021,,54,80.41,4663.78,One year,Electronic Check,Fiber optic,No,No,0,0
CUST00090,7/23/2020,,52,62.12,3540.84,Month-to-month,Credit Card,Fiber optic,No,Yes,0,0
CUST00091,7/17/2021,,22,60.12,2344.68,Month-to-month,Mailed Check,Fiber optic,No,No,1,0
CUST00092,7/25/2022,,8,83.31,3499.02,One year,PayPal,Fiber optic,Yes,No,1,0
CUST00093,9/5/2023,12/4/2023,3,23.38,70.14,Two year,Credit Card,Fiber optic,No,No,1,1
CUST00094,1/17/2021,,30,42.65,2132.5,Month-to-month,PayPal,DSL,Yes,No,0,0
CUST00095,11/30/2019,,4,21.94,548.5,Month-to-month,Credit Card,DSL,No,Yes,1,0
CUST00096,1/28/2021,,11,70.52,4019.64,Month-to-month,Credit Card,Fiber optic,Yes,Yes,0,0
CUST00097,12/28/2020,,60,75.05,4503,Two year,Electronic Check,Fiber optic,No,Yes,1,0
CUST00098,3/5/2020,3/20/2023,37,22.7,839.9,One year,Electronic Check,Fiber optic,No,Yes,0,1
CUST00099,10/4/2022,,28,79.99,4079.49,Month-to-month,Electronic Check,Fiber optic,No,No,1,0
CUST00100,6/30/2020,,53,85.04,4932.32,Month-to-month,Credit Card,Fiber optic,Yes,No,0,0
CUST00101,12/8/2022,,47,50.23,2963.57,One year,Credit Card,Fiber optic,No,No,0,0
CUST00102,10/31/2022,,26,52.06,2290.64,One year,PayPal,No service,No,Yes,1,0
CUST00103,8/20/2022,,32,85.46,3162.02,Two year,PayPal,DSL,No,No,1,0
CUST00104,5/27/2019,,2,90.13,3064.42,One year,PayPal,No service,Yes,No,1,0
CUST00105,6/1/2022,6/20/2024,25,88.96,2224,Month-to-month,Credit Card,Fiber optic,No,Yes,1,1
CUST00106,7/24/2022,3/5/2026,44,26.12,1149.28,Month-to-month,PayPal,Fiber optic,Yes,No,1,1
CUST00107,12/17/2019,,28,60.36,2172.96,Month-to-month,PayPal,No service,No,No,0,0
CUST00108,12/29/2021,,12,76.28,2364.68,Month-to-month,PayPal,DSL,No,No,0,0
CUST00109,2/2/2023,12/23/2024,23,78.61,1808.03,One year,Electronic Check,DSL,No,No,1,1
CUST00110,5/16/2020,,14,21.61,1145.33,Two year,Mailed Check,DSL,Yes,No,0,0
CUST00111,12/1/2019,,59,79.41,4685.19,One year,Electronic Check,DSL,No,Yes,0,0
CUST00112,8/4/2021,7/30/2022,12,63.34,760.08,Month-to-month,Electronic Check,Fiber optic,No,Yes,0,1
CUST00113,2/16/2021,,18,93.52,2150.96,Month-to-month,Electronic Check,Fiber optic,Yes,No,1,0
CUST00114,7/6/2020,12/28/2021,18,27.64,497.52,Two year,Electronic Check,No service,No,No,1,1
CUST00115,8/3/2022,,29,67.06,3755.36,Month-to-month,PayPal,Fiber optic,No,No,0,0
CUST00116,11/10/2022,,57,51.29,3026.11,Month-to-month,Credit Card,Fiber optic,Yes,No,0,0
CUST00117,2/14/2022,,10,86.52,951.72,One year,Mailed Check,DSL,Yes,No,0,0
CUST00118,3/25/2020,6/23/2020,3,88.74,266.22,Month-to-month,Electronic Check,Fiber optic,Yes,No,0,1
CUST00119,11/3/2022,,40,82.78,3642.32,Month-to-month,Credit Card,DSL,No,Yes,0,0
CUST00120,10/26/2020,,40,54.01,2160.4,One year,Electronic Check,DSL,No,No,0,0
CUST00121,9/23/2023,1/5/2027,40,79.48,3179.2,Month-to-month,PayPal,DSL,Yes,Yes,0,1
CUST00122,4/23/2023,,16,44.17,795.06,Two year,Mailed Check,DSL,No,No,0,0
CUST00123,5/9/2023,10/20/2026,42,56.71,2381.82,One year,Mailed Check,Fiber optic,Yes,Yes,0,1
CUST00124,4/25/2019,,19,27.97,587.37,One year,PayPal,DSL,No,No,1,0
CUST00125,4/14/2020,,32,97.54,3511.44,Two year,Electronic Check,Fiber optic,No,No,0,0
CUST00126,8/11/2023,10/29/2025,27,66.1,1784.7,Two year,PayPal,Fiber optic,No,No,0,1
CUST00127,3/7/2019,11/11/2023,57,50.13,2857.41,Month-to-month,Credit Card,DSL,No,No,0,1
CUST00128,7/7/2023,,36,54.36,2446.2,Month-to-month,Credit Card,Fiber optic,No,No,1,0
CUST00129,10/8/2020,,31,37.78,1586.76,Two year,Mailed Check,DSL,No,No,0,0
CUST00130,4/1/2021,,4,52.51,2310.44,Month-to-month,Electronic Check,Fiber optic,Yes,Yes,1,0
CUST00131,7/2/2020,,6,42.28,845.6,Month-to-month,Mailed Check,Fiber optic,No,Yes,0,0
CUST00132,5/16/2019,11/6/2020,18,42.75,769.5,One year,Electronic Check,DSL,No,Yes,1,1
CUST00133,3/8/2020,,25,76.23,2972.97,Month-to-month,Credit Card,Fiber optic,No,No,0,0
CUST00134,3/7/2022,,9,60.53,786.89,Month-to-month,Credit Card,Fiber optic,No,Yes,1,0
CUST00135,11/30/2023,,27,50.59,2124.78,Month-to-month,Credit Card,DSL,No,No,0,0
CUST00136,1/10/2023,,13,99.45,2088.45,Two year,Electronic Check,No service,No,No,0,0
CUST00137,10/6/2020,3/19/2024,42,78.2,3284.4,One year,PayPal,No service,Yes,Yes,1,1
CUST00138,3/11/2020,11/15/2024,57,96.12,5478.84,One year,Mailed Check,Fiber optic,No,No,1,1
CUST00139,9/4/2022,12/12/2026,52,81.02,4213.04,Month-to-month,Electronic Check,DSL,Yes,No,0,1
CUST00140,10/19/2021,8/4/2024,34,77.17,2623.78,Month-to-month,Electronic Check,DSL,Yes,Yes,0,1
CUST00141,3/21/2021,7/14/2022,16,56.18,898.88,Two year,Electronic Check,Fiber optic,Yes,No,1,1
CUST00142,12/17/2023,,41,66.23,2914.12,One year,Credit Card,Fiber optic,No,No,1,0
CUST00143,8/9/2022,11/16/2026,52,21.99,1143.48,Month-to-month,Electronic Check,Fiber optic,Yes,No,0,1
CUST00144,7/28/2021,,35,81.7,4902,Month-to-month,Electronic Check,Fiber optic,No,No,0,0
CUST00145,10/20/2019,12/28/2023,51,55.77,2844.27,Month-to-month,Mailed Check,Fiber optic,No,No,0,1
CUST00146,6/26/2020,8/25/2020,2,58.14,116.28,Month-to-month,PayPal,No service,Yes,No,1,1
CUST00147,10/13/2019,,25,28.72,1292.4,Month-to-month,Mailed Check,DSL,Yes,No,1,0
CUST00148,5/20/2020,7/28/2024,51,44.85,2287.35,Month-to-month,PayPal,Fiber optic,Yes,Yes,1,1
CUST00149,3/6/2023,,46,31.5,1858.5,Month-to-month,PayPal,DSL,No,Yes,1,0
CUST00150,2/23/2022,,23,70.39,3026.77,Month-to-month,Electronic Check,DSL,No,No,0,0
CUST00151,1/8/2022,,31,26.69,880.77,Month-to-month,Electronic Check,Fiber optic,No,Yes,0,0
CUST00152,6/22/2020,5/8/2023,35,64.87,2270.45,Month-to-month,PayPal,DSL,No,No,0,1
CUST00153,3/10/2023,,51,36.61,1976.94,Month-to-month,Mailed Check,DSL,No,Yes,1,0
CUST00154,4/12/2022,11/27/2024,32,95.37,3051.84,Month-to-month,Credit Card,DSL,Yes,Yes,0,1
CUST00155,5/27/2021,4/17/2023,23,67.47,1551.81,Month-to-month,PayPal,Fiber optic,No,No,1,1
CUST00156,4/10/2022,,59,26.71,1575.89,Month-to-month,Electronic Check,DSL,No,Yes,1,0
CUST00157,3/28/2021,,37,52.26,2456.22,Month-to-month,PayPal,Fiber optic,No,No,0,0
CUST00158,1/11/2021,,33,87.05,3743.15,Two year,PayPal,Fiber optic,No,Yes,0,0
CUST00159,3/25/2020,12/15/2021,21,61.87,1299.27,One year,Mailed Check,Fiber optic,No,Yes,0,1
CUST00160,10/11/2019,,25,87.17,4794.35,One year,Credit Card,Fiber optic,No,Yes,1,0
CUST00161,11/9/2021,,18,80.85,1617,Two year,Mailed Check,DSL,No,Yes,1,0
CUST00162,10/7/2021,,12,24.71,1111.95,Month-to-month,Electronic Check,Fiber optic,Yes,Yes,0,0
CUST00163,7/6/2019,9/4/2019,2,59.47,118.94,Month-to-month,Electronic Check,Fiber optic,Yes,No,1,1
CUST00164,3/28/2023,12/17/2024,21,52.95,1111.95,One year,Credit Card,Fiber optic,Yes,Yes,0,1
CUST00165,4/7/2019,6/20/2022,39,79.24,3090.36,One year,Credit Card,Fiber optic,No,No,1,1
CUST00166,10/30/2023,,15,86.75,2429,Two year,Credit Card,Fiber optic,No,Yes,0,0
CUST00167,8/13/2019,10/12/2019,2,22.92,45.84,Month-to-month,Mailed Check,Fiber optic,No,No,0,1
CUST00168,11/10/2019,8/15/2024,58,75.12,4356.96,Month-to-month,Credit Card,Fiber optic,No,No,1,1
CUST00169,7/9/2022,,52,67.9,3938.2,Month-to-month,PayPal,DSL,No,Yes,1,0
CUST00170,11/24/2019,,50,89.71,5203.18,Two year,Mailed Check,DSL,No,No,0,0
CUST00171,6/11/2023,,18,41.45,1202.05,Two year,Electronic Check,Fiber optic,No,No,0,0
CUST00172,10/25/2022,,4,36.74,1726.78,Month-to-month,PayPal,DSL,No,Yes,1,0
CUST00173,5/14/2021,8/21/2025,52,64.99,3379.48,Two year,PayPal,No service,No,Yes,0,1
CUST00174,5/6/2022,,31,59.1,2009.4,Month-to-month,Mailed Check,Fiber optic,Yes,No,0,0
CUST00175,5/11/2019,,34,59.99,2579.57,One year,Electronic Check,DSL,No,Yes,1,0
CUST00176,2/27/2021,,23,96.76,4063.92,Two year,PayPal,DSL,No,Yes,1,0
CUST00177,2/20/2021,,50,38.86,2098.44,Month-to-month,PayPal,DSL,Yes,Yes,1,0
CUST00178,5/5/2022,6/18/2025,38,56.91,2162.58,Month-to-month,Electronic Check,No service,Yes,No,1,1
CUST00179,8/16/2021,,15,58.64,2814.72,Two year,Mailed Check,Fiber optic,No,Yes,1,0
CUST00180,12/19/2021,,11,64.38,2832.72,Month-to-month,Credit Card,Fiber optic,No,Yes,0,0
CUST00181,5/29/2020,,7,79.17,3641.82,Month-to-month,Electronic Check,Fiber optic,No,No,0,0
CUST00182,2/7/2022,,16,78.65,3146,One year,PayPal,Fiber optic,No,No,1,0
CUST00183,10/29/2023,,43,93.7,5153.5,One year,Electronic Check,DSL,No,Yes,1,0
CUST00184,1/24/2019,,16,54.06,2865.18,One year,Mailed Check,No service,Yes,No,0,0
CUST00185,10/25/2022,,18,26.2,1493.4,Month-to-month,Mailed Check,Fiber optic,No,No,0,0
CUST00186,1/16/2023,,35,30.18,1720.26,One year,Mailed Check,Fiber optic,No,No,0,0
CUST00187,8/23/2019,12/30/2023,53,21.09,1117.77,Month-to-month,Electronic Check,DSL,No,Yes,0,1
CUST00188,10/28/2022,1/5/2027,51,61.6,3141.6,One year,Electronic Check,DSL,No,No,0,1
CUST00189,12/18/2023,10/22/2028,59,29.72,1753.48,Month-to-month,PayPal,DSL,No,Yes,0,1
CUST00190,1/4/2022,12/14/2025,48,35.79,1717.92,Month-to-month,Mailed Check,Fiber optic,No,No,1,1
CUST00191,3/18/2023,,4,89.58,3135.3,One year,PayPal,No service,No,Yes,0,0
CUST00192,6/30/2020,,49,29.09,1483.59,Month-to-month,Mailed Check,DSL,No,No,1,0
CUST00193,4/24/2023,,15,90.84,4178.64,Month-to-month,PayPal,Fiber optic,Yes,No,0,0
CUST00194,8/5/2022,8/19/2025,37,59.61,2205.57,One year,PayPal,Fiber optic,No,Yes,1,1
CUST00195,11/27/2020,,55,70.09,4205.4,Month-to-month,PayPal,Fiber optic,No,No,1,0
CUST00196,8/17/2019,11/24/2023,52,61.97,3222.44,Two year,Mailed Check,Fiber optic,No,Yes,1,1
CUST00197,8/24/2020,,25,31.19,1216.41,One year,PayPal,DSL,No,Yes,1,0
CUST00198,6/9/2021,4/30/2023,23,89.94,2068.62,Month-to-month,Mailed Check,DSL,No,No,1,1
CUST00199,11/20/2019,10/24/2024,60,53.45,3207,Month-to-month,PayPal,DSL,No,Yes,1,1
CUST00200,7/18/2021,,54,20.74,1182.18,Month-to-month,Electronic Check,DSL,No,No,1,0
CUST00201,1/7/2019,,55,29.41,1705.78,Month-to-month,Electronic Check,Fiber optic,No,Yes,1,0
CUST00202,1/18/2023,,12,99.66,5182.32,Month-to-month,Mailed Check,Fiber optic,No,No,0,0
CUST00203,11/29/2023,11/23/2024,12,77.6,931.2,Month-to-month,Mailed Check,DSL,No,No,0,1
CUST00204,1/13/2023,5/7/2024,16,90.42,1446.72,Two year,Mailed Check,Fiber optic,No,No,1,1
CUST00205,6/23/2020,,38,41.69,2167.88,One year,Credit Card,Fiber optic,No,Yes,0,0
CUST00206,10/22/2021,7/14/2023,21,45.79,961.59,Month-to-month,Credit Card,Fiber optic,Yes,Yes,1,1
CUST00207,4/10/2023,7/18/2027,52,91.16,4740.32,Month-to-month,Mailed Check,Fiber optic,No,No,1,1
CUST00208,1/1/2020,,48,65.1,3840.9,Month-to-month,PayPal,DSL,No,Yes,1,0
CUST00209,11/5/2021,7/17/2025,45,33.28,1497.6,One year,Electronic Check,DSL,No,No,0,1
CUST00210,8/6/2019,6/26/2021,23,43.22,994.06,Month-to-month,Mailed Check,Fiber optic,No,No,1,1
CUST00211,11/18/2023,,59,74.8,4488,One year,Credit Card,Fiber optic,No,No,0,0
CUST00212,7/4/2022,,38,84.23,4885.34,Month-to-month,PayPal,Fiber optic,No,No,0,0
CUST00213,9/3/2020,,2,96.16,2692.48,Month-to-month,Electronic Check,DSL,No,No,1,0
CUST00214,9/20/2023,,46,49.7,2385.6,One year,PayPal,Fiber optic,No,No,0,0
CUST00215,8/1/2022,,45,68.36,3076.2,Month-to-month,Mailed Check,Fiber optic,No,Yes,0,0
CUST00216,11/5/2021,9/26/2023,23,57.77,1328.71,One year,PayPal,DSL,Yes,Yes,1,1
CUST00217,6/1/2022,6/15/2025,37,36.85,1363.45,Month-to-month,Mailed Check,Fiber optic,No,No,0,1
CUST00218,2/12/2020,2/26/2023,37,46.41,1717.17,Month-to-month,Credit Card,Fiber optic,No,No,1,1
CUST00219,11/10/2019,9/5/2020,10,79.74,797.4,Two year,Electronic Check,Fiber optic,No,Yes,1,1
CUST00220,2/4/2021,,37,99.69,4087.29,Two year,Credit Card,No service,No,No,0,0
CUST00221,4/11/2023,5/5/2024,13,94.23,1224.99,Month-to-month,PayPal,Fiber optic,No,Yes,0,1
CUST00222,11/27/2019,,54,33.14,1855.84,Month-to-month,Electronic Check,Fiber optic,Yes,No,0,0
CUST00223,1/9/2022,4/18/2026,52,77.21,4014.92,One year,PayPal,Fiber optic,No,No,1,1
CUST00224,5/14/2023,,57,57.91,3358.78,Month-to-month,PayPal,Fiber optic,No,No,1,0
CUST00225,12/22/2021,8/8/2024,32,45.42,1453.44,One year,PayPal,Fiber optic,No,No,1,1
CUST00226,1/2/2019,,35,34.34,1579.64,One year,Electronic Check,Fiber optic,No,No,0,0
CUST00227,5/11/2022,1/1/2024,20,57.64,1152.8,Month-to-month,Electronic Check,DSL,Yes,No,1,1
CUST00228,10/25/2020,,12,99.46,2983.8,Month-to-month,Mailed Check,Fiber optic,No,No,0,0
CUST00229,9/27/2021,5/14/2024,32,20.45,654.4,One year,Credit Card,DSL,Yes,Yes,0,1
CUST00230,2/9/2019,,3,76.12,1217.92,Two year,PayPal,DSL,No,No,1,0
CUST00231,8/18/2019,,6,35.94,359.4,One year,Electronic Check,Fiber optic,No,No,1,0
CUST00232,1/13/2021,5/13/2021,4,27.51,110.04,Month-to-month,Mailed Check,Fiber optic,No,No,1,1
CUST00233,12/5/2023,,15,56.69,2721.12,One year,Mailed Check,Fiber optic,Yes,No,1,0
CUST00234,8/31/2023,11/13/2026,39,27.58,1075.62,Month-to-month,Electronic Check,DSL,No,No,0,1
CUST00235,7/11/2023,,15,70,1960,One year,Credit Card,Fiber optic,No,No,1,0
CUST00236,9/21/2020,11/20/2020,2,67.56,135.12,Month-to-month,Electronic Check,DSL,No,Yes,0,1
CUST00237,5/5/2020,,34,25.34,1495.06,Month-to-month,Credit Card,DSL,No,No,1,0
CUST00238,4/29/2019,11/14/2021,31,70.91,2198.21,Month-to-month,Mailed Check,DSL,No,Yes,1,1
CUST00239,5/8/2020,6/7/2020,1,90.67,90.67,One year,PayPal,DSL,No,No,1,1
CUST00240,12/4/2023,,22,47.6,1570.8,One year,Mailed Check,Fiber optic,Yes,Yes,1,0
CUST00241,3/7/2022,,59,21.13,1246.67,Month-to-month,Credit Card,Fiber optic,Yes,Yes,0,0
CUST00242,6/11/2019,,40,35.41,1558.04,One year,Electronic Check,DSL,No,Yes,0,0
CUST00243,6/25/2019,7/19/2020,13,42.74,555.62,Month-to-month,Electronic Check,Fiber optic,No,No,0,1
CUST00244,2/7/2023,5/17/2027,52,92.92,4831.84,Month-to-month,Electronic Check,Fiber optic,Yes,Yes,1,1
CUST00245,9/22/2021,6/19/2022,9,54.09,486.81,One year,Mailed Check,DSL,No,Yes,1,1
CUST00246,7/30/2023,,22,78.35,2663.9,Month-to-month,PayPal,No service,Yes,No,0,0
CUST00247,5/22/2019,,46,49.38,2913.42,One year,PayPal,No service,No,Yes,1,0
CUST00248,4/7/2023,,12,81.36,1301.76,Two year,Credit Card,DSL,No,No,1,0
CUST00249,12/26/2021,,59,94.74,5589.66,Month-to-month,Mailed Check,No service,Yes,Yes,0,0
CUST00250,4/18/2023,,52,64.89,3568.95,One year,Mailed Check,No service,Yes,No,0,0
CUST00251,9/15/2019,3/22/2024,55,71.33,3923.15,Two year,PayPal,Fiber optic,Yes,No,0,1
CUST00252,9/20/2019,,56,36.21,2172.6,Month-to-month,PayPal,Fiber optic,No,Yes,1,0
CUST00253,9/13/2022,,21,67.41,2022.3,Two year,Electronic Check,Fiber optic,No,No,1,0
CUST00254,8/31/2021,,4,28.24,1694.4,Month-to-month,Mailed Check,Fiber optic,Yes,Yes,1,0
CUST00255,1/30/2022,3/31/2022,2,37.32,74.64,One year,Credit Card,DSL,No,No,0,1
CUST00256,12/5/2019,,10,34.27,1747.77,Month-to-month,Mailed Check,Fiber optic,No,No,0,0
CUST00257,6/26/2020,,38,65.09,2473.42,Month-to-month,Credit Card,Fiber optic,Yes,No,1,0
CUST00258,12/16/2021,9/26/2025,46,30.14,1386.44,Two year,PayPal,Fiber optic,No,No,0,1
